"start","end","monthly pay","trading days","total contrib","begin balance","end balance","growth factor",,"bin limits","frequency count"
01/02/29,01/02/59,150,7503,"$53,850.00",$0.00,"$194,718.81",3.62,,1,0
01/02/30,01/04/60,150,7507,"$53,850.00",$0.00,"$224,584.21",4.17,,1.5,2
01/02/31,01/03/61,150,7508,"$53,850.00",$0.00,"$200,508.75",3.72,,2,8
01/04/32,01/02/62,150,7506,"$53,850.00",$0.00,"$229,423.38",4.26,,2.5,6
01/03/33,01/02/63,150,7508,"$53,850.00",$0.00,"$186,971.55",3.47,,3,6
01/02/34,01/02/64,150,7517,"$53,850.00",$0.00,"$203,279.40",3.77,,3.5,6
01/02/35,01/04/65,150,7521,"$53,850.00",$0.00,"$218,683.41",4.06,,4,7
01/02/36,01/03/66,150,7523,"$53,850.00",$0.00,"$229,777.09",4.27,,4.5,5
01/04/37,01/03/67,150,7522,"$53,850.00",$0.00,"$179,149.66",3.33,,5,0
01/03/38,01/02/68,150,7523,"$53,850.00",$0.00,"$198,124.06",3.68,,5.5,3
01/03/39,01/02/69,150,7499,"$53,850.00",$0.00,"$195,335.03",3.63,,6,3
01/02/40,01/02/70,150,7500,"$53,850.00",$0.00,"$157,060.52",2.92,,6.5,2
01/02/41,01/04/71,150,7503,"$53,850.00",$0.00,"$155,312.97",2.88,,7,2
01/02/42,01/03/72,150,7506,"$53,850.00",$0.00,"$153,346.00",2.85,,7.5,1
01/04/43,01/02/73,150,7506,"$53,850.00",$0.00,"$160,429.81",2.98,,8,0
01/03/44,01/02/74,150,7508,"$53,850.00",$0.00,"$124,178.58",2.31,,8.5,1
01/02/45,01/02/75,150,7510,"$53,850.00",$0.00,"$83,681.71",1.55,,,0
01/02/46,01/02/76,150,7517,"$53,850.00",$0.00,"$108,691.96",2.02,,,
01/02/47,01/03/77,150,7520,"$53,850.00",$0.00,"$120,469.58",2.24,,,
01/02/48,01/03/78,150,7522,"$53,850.00",$0.00,"$92,924.13",1.73,,,
01/03/49,01/02/79,150,7523,"$53,850.00",$0.00,"$83,708.66",1.55,,,
01/03/50,01/02/80,150,7526,"$53,850.00",$0.00,"$80,596.12",1.5,,,
01/02/51,01/02/81,150,7530,"$53,850.00",$0.00,"$86,567.75",1.61,,,
01/02/52,01/04/82,150,7534,"$53,850.00",$0.00,"$74,139.11",1.38,,,
01/02/53,01/03/83,150,7537,"$53,850.00",$0.00,"$83,905.85",1.56,,,
01/04/54,01/03/84,150,7539,"$53,850.00",$0.00,"$94,611.67",1.76,,,
01/03/55,01/02/85,150,7540,"$53,850.00",$0.00,"$86,416.31",1.6,,,
01/03/56,01/02/86,150,7540,"$53,850.00",$0.00,"$106,176.84",1.97,,,
01/02/57,01/02/87,150,7542,"$53,850.00",$0.00,"$125,125.70",2.32,,,
01/02/58,01/04/88,150,7543,"$53,850.00",$0.00,"$122,143.31",2.27,,,
01/02/59,01/03/89,150,7544,"$53,850.00",$0.00,"$130,590.88",2.43,,,
01/04/60,01/02/90,150,7543,"$53,850.00",$0.00,"$160,029.97",2.97,,,
01/03/61,01/02/91,150,7544,"$53,850.00",$0.00,"$147,118.27",2.73,,,
01/02/62,01/02/92,150,7547,"$53,850.00",$0.00,"$170,743.31",3.17,,,
01/02/63,01/04/93,150,7549,"$53,850.00",$0.00,"$170,281.59",3.16,,,
01/02/64,01/03/94,150,7551,"$53,850.00",$0.00,"$186,141.81",3.46,,,
01/04/65,01/03/95,150,7550,"$53,850.00",$0.00,"$183,689.16",3.41,,,
01/03/66,01/02/96,150,7550,"$53,850.00",$0.00,"$237,160.33",4.4,,,
01/03/67,01/02/97,150,7552,"$53,850.00",$0.00,"$287,352.43",5.34,,,
01/02/68,01/02/98,150,7554,"$53,850.00",$0.00,"$338,176.62",6.28,,,
01/02/69,01/04/99,150,7580,"$53,850.00",$0.00,"$376,237.95",6.99,,,
01/02/70,01/03/00,150,7582,"$53,850.00",$0.00,"$449,361.37",8.34,,,
01/04/71,01/02/01,150,7580,"$53,850.00",$0.00,"$397,705.95",7.39,,,
01/03/72,01/02/02,150,7575,"$53,850.00",$0.00,"$350,776.78",6.51,,,
01/02/73,01/02/03,150,7576,"$53,850.00",$0.00,"$277,844.84",5.16,,,
01/02/74,01/02/04,150,7576,"$53,850.00",$0.00,"$329,776.78",6.12,,,
01/02/75,01/03/05,150,7575,"$53,850.00",$0.00,"$315,548.41",5.86,,,
01/02/76,01/03/06,150,7574,"$53,850.00",$0.00,"$291,632.98",5.42,,,
01/03/77,01/03/07,150,7572,"$53,850.00",$0.00,"$318,272.73",5.91,,,
01/03/78,01/02/08,150,7571,"$53,850.00",$0.00,"$313,542.68",5.82,,,
01/02/79,01/02/09,150,7572,"$53,850.00",$0.00,"$189,370.55",3.52,,,
01/02/80,01/04/10,150,7571,"$53,850.00",$0.00,"$204,901.88",3.81,,,
,,,,,,"$195,890.37",3.64,,,
